1;LM;19;org.apache.xerces.parsers.AbstractSAXParser - Linha: 1838;;X
1;LM;20;org.apache.xml.serialize.XMLSerializer - Linha: 1330;;X
2;LPL;1;org.apache.xerces.dom.events.MouseEventImpl - Linha: 86;x;
2;LPL;2;org.apache.xerces.impl.dv.xs.AbstractDateTimeDV - Linha: 938;;x
2;LPL;3;org.apache.xerces.impl.xs.SchemaGrammar - Linha: 1185;;x
2;LPL;4;org.apache.xerces.impl.xs.XSComplexTypeDecl - Linha: 106;;x
2;FE;1;org.apache.xerces.impl.XMLEntityScanner###- scanContent(XMLString content) : int;;x
2;FE;2;org.apache.xerces.impl.XMLVersionDetector###- fixupCurrentEntity(XMLEntityManager manager, char scannedChars, int length) : void;x;
2;FE;3;org.apache.xerces.impl.dv.xs.DayDV###- parse(String str) : DateTimeData;x;
2;FE;4;org.apache.xerces.impl.XML11EntityScanner###- scanData(String delimiter, XMLStringBuffer buffer) : boolean;;x
2;FE;5;org.apache.xerces.dom.DocumentImpl###- dispatchEvent(NodeImpl node, Event event) : boolean;x;
2;FE;6;org.apache.xerces.impl.XML11EntityScanner###- scanContent(XMLString content) : int;;x
2;FE;7;org.apache.xml.serialize.XMLSerializer###- startElement(String namespaceURI, String localName, String rawName, Attributes attrs) : void;;x
2;FE;8;org.apache.xerces.impl.XML11EntityScanner###- scanQName(QName qname) : boolean;;x
2;FE;9;org.apache.xerces.impl.dv.xs.MonthDV###- parse(String str) : DateTimeData;;x
2;FE;10;org.apache.xerces.impl.XMLEntityScanner###- scanChar() : int;;x
2;FE;11;org.apache.xml.serialize.HTMLSerializer###- startElement(String namespaceURI, String localName, String rawName, Attributes attrs) : void;;x
2;FE;12;org.apache.xml.serialize.XMLSerializer###- serializeElement(Element elem) : void;;x
2;FE;13;org.apache.xerces.parsers.AbstractSAXParser###- parse(InputSource inputSource) : void;x;
2;FE;14;org.apache.xerces.impl.XMLEntityScanner###- skipSpaces() : boolean;;x
2;FE;15;org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser###- getErrorContent() : XSParticleDecl;;x
2;FE;16;org.apache.xerces.dom.CoreDocumentImpl###- getNodeListCache(ParentNode owner) : NodeListCache;;x
2;FE;17;org.apache.xml.serialize.HTMLSerializer###- serializeElement(Element elem) : void;x;
2;FE;18;org.apache.xerces.impl.dv.xs.DurationDV###- getDuration(DateTimeData date) : Duration;x;
2;FE;19;org.apache.xerces.impl.dv.xs.DateDV###- getXMLGregorianCalendar(DateTimeData date) : XMLGregorianCalendar;x;
2;FE;20;org.apache.xerces.jaxp.JAXPValidatorComponent$2###- resolveResource(String type, String ns, String publicId, String systemId, String baseUri) : LSInput;;x
2;GC;1;org.apache.xerces.dom.AttrImpl;x;
2;GC;2;org.apache.xerces.dom.DOMNormalizer;x;
2;GC;3;org.apache.xerces.dom.DocumentImpl;x;
2;GC;4;org.apache.xerces.impl.XMLDTDScannerImpl;;x
