Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"model.batch.BatchError.getDescription",,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.getErrorDate",,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.getPoints",,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.getProductionUser",,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.getSeverity",,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.getStatus",,,,,,,,,,,,,,,,,,,,,,,,,5,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.get_id",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.isValid",,,,,,,,,,,,,,,,,,,,,,,,,5,8,1,7,2,3,0,2,2,0,2,4,1,3,2,2,3,1,0,,,,,0,,1,0,,0.00,,,,
Public Method,"model.batch.BatchError.merge",,,,,,,,,,,,,,,,,,,,,,,,,8,20,0,20,1,13,0,11,32,2,7,13,1,12,6,6,11,1,0,,,,,0,,1,0,,0.00,,,,
Public Method,"model.batch.BatchError.setDescription",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.setErrorDate",,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.setPoints",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.setProductionUser",,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.setSeverity",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.setStatus",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.set_id",,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchError.updateSeverity",,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,6,1,3,0,5,2,0,2,4,1,3,2,2,3,1,0,,,,,0,,1,0,,0.00,,,,
Private Method,"model.batch.BatchError.validateSeverityType",,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,2,3,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Public Class,"model.batch.BatchStatus",1,1,1,1,5,0,5,0,1,7,0,,0,0,,,6,4,6,18,0,0,0,6,,68,11,54,28,16,3,,,,14,24,12,12,,,,,,2,2,4,1,,0,1,,41,0.06,8,8,10,6
Public Constructor,"model.batch.BatchStatus.BatchStatus",,,,,,,,,,,,,,,,,,,,,,,,,11,9,0,9,4,4,0,5,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Enum Type,"model.batch.BatchStatus.Status",1,1,1,1,0,0,0,0,1,1,0,,0,0,,,2,9,2,27,0,0,0,2,,11,0,11,10,0,0,,,,0,1,1,0,,,,,,1,1,1,1,,0,0,,100,0.00,2,2,2,2
Public Method,"model.batch.BatchStatus.Status.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchStatus.Status.values",,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchStatus.hasProductionUser",,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchStatus.isFinished",,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchStatus.simplify",,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,7,2,3,0,4,2,0,2,4,1,3,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Method,"model.batch.BatchStatus.toString",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,1,5,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.BatchStatus.validBatchStatus",,,,,,,,,,,,,,,,,,,,,,,,,7,5,0,5,1,2,0,1,2,0,1,3,1,2,2,2,4,1,0,,,,,0,,1,0,,0.00,,,,
Package,"model.batch.document",3,3,3,1,10,0,7,2,,,,2,0,0,1,,9,10,9,,0,0,0,9,,134,17,91,37,41,26,,,,43,64,26,38,,,,,,8,8,9,6,,,2,,,0.29,27,27,32,16
Public Class,"model.batch.document.Document",3,3,4,2,13,0,9,3,1,10,0,,0,0,,,7,6,7,19,0,0,0,7,,120,13,81,27,41,26,,,,34,55,17,38,,,,,,8,8,9,6,,0,2,,42,0.32,25,25,30,14
Public Constructor,"model.batch.document.Document.Document",,,,,,,,,,,,,,,,,,,,,,,,,10,14,1,13,6,6,0,10,1,0,6,7,1,6,2,2,3,1,0,,,,,0,,0,0,,0.00,,,,
Public Enum Type,"model.batch.document.Document.ScanType",1,1,1,1,0,0,0,0,1,1,0,,0,0,,,2,4,2,27,0,0,0,2,,1,0,1,1,0,0,,,,0,1,1,0,,,,,,1,1,1,1,,0,0,,100,0.00,2,2,2,2
Public Method,"model.batch.document.Document.ScanType.valueOf",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.document.Document.ScanType.values",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.document.Document.equals",,,,,,,,,,,,,,,,,,,,,,,,,5,13,3,10,2,8,0,3,6,1,7,13,2,11,8,8,9,6,5,,,,,5,,1,5,,0.00,,,,
Public Method,"model.batch.document.Document.hashCode",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,2,5,0,3,1,0,5,6,2,4,4,4,4,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.document.Document.toString",,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,8,1,6,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Method,"model.batch.document.Document.validateDocument",,,,,,,,,,,,,,,,,,,,,,,,,5,20,0,13,2,7,7,8,8,1,4,8,1,7,4,4,6,1,1,,,,,0,,1,0,,0.54,,,,
Public Method,"model.batch.document.Document.validatePageRange",,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,9,1,5,6,5,3,0,3,6,1,5,3,3,3,3,3,,,,,3,,2,3,,0.67,,,,
Public Method,"model.batch.document.Document.validateScanType",,,,,,,,,,,,,,,,,,,,,,,,,4,16,0,8,1,4,8,4,3,0,2,5,1,4,3,3,4,1,0,,,,,0,,2,0,,1.00,,,,
Package,"model.batch.observation",1,1,1,1,5,0,4,0,,,,12,0,1,12,,27,14,27,,0,2,0,25,,385,72,264,188,38,49,,,,111,153,118,35,,,,,,3,3,4,1,,,2,,,0.19,33,33,35,27
Public Class,"model.batch.observation.DisorderedDocument",1,1,1,1,4,0,4,0,1,3,0,,0,0,,,2,0,2,18,0,0,0,2,,18,3,12,8,1,3,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0.25,2,2,2,2
Public Constructor,"model.batch.observation.DisorderedDocument.DisorderedDocument",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,5,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.DisorderedDocument.DisorderedDocument",,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Class,"model.batch.observation.DuplicateDocument",1,1,1,1,4,0,4,0,1,3,0,,0,0,,,2,0,2,18,0,0,0,2,,17,2,12,8,1,3,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0.25,2,2,2,2
Public Constructor,"model.batch.observation.DuplicateDocument.DuplicateDocument",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,5,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.DuplicateDocument.DuplicateDocument",,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Class,"model.batch.observation.IllegibleDocument",1,1,1,1,4,0,4,0,1,3,0,,0,0,,,2,0,2,18,0,0,0,2,,18,3,12,8,1,3,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0.25,2,2,2,2
Public Constructor,"model.batch.observation.IllegibleDocument.IllegibleDocument",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,5,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.IllegibleDocument.IllegibleDocument",,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Class,"model.batch.observation.MissingPartialInformation",1,1,1,1,4,0,4,0,1,3,0,,0,0,,,2,0,2,18,0,0,0,2,,18,3,12,8,1,3,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0.25,2,2,2,2
Public Constructor,"model.batch.observation.MissingPartialInformation.MissingPartialInformation",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,5,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.MissingPartialInformation.MissingPartialInformation",,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Class,"model.batch.observation.MissingPhysicalDocument",1,1,1,1,4,0,4,0,1,3,0,,0,0,,,2,0,2,18,0,0,0,2,,17,2,12,8,1,3,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0.25,2,2,2,2
Public Constructor,"model.batch.observation.MissingPhysicalDocument.MissingPhysicalDocument",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,5,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.MissingPhysicalDocument.MissingPhysicalDocument",,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Class,"model.batch.observation.MissingStampDocument",1,1,1,1,4,0,4,0,1,3,0,,0,0,,,2,0,2,18,0,0,0,2,,18,3,12,8,1,3,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0.25,2,2,2,2
Public Constructor,"model.batch.observation.MissingStampDocument.MissingStampDocument",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,5,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.MissingStampDocument.MissingStampDocument",,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Class,"model.batch.observation.MissingTotalInformation",1,1,1,1,4,0,4,0,1,3,0,,0,0,,,2,0,2,18,0,0,0,2,,17,2,12,8,1,3,,,,1,4,3,1,,,,,,1,1,1,1,,1,0,,0,0.25,2,2,2,2
Public Constructor,"model.batch.observation.MissingTotalInformation.MissingTotalInformation",,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,5,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.MissingTotalInformation.MissingTotalInformation",,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Abstract Class,"model.batch.observation.Observation",2,2,2,1,9,0,6,2,1,8,8,,0,0,,,4,4,4,16,0,1,0,3,,55,6,33,14,11,16,,,,12,21,10,11,,,,,,3,3,4,1,,0,2,,62,0.48,9,9,11,4
Public Constructor,"model.batch.observation.Observation.Observation",,,,,,,,,,,,,,,,,,,,,,,,,12,9,0,9,4,4,0,9,1,0,4,5,1,4,3,3,3,1,0,,,,,0,,0,0,,0.00,,,,
Public Constructor,"model.batch.observation.Observation.Observation",,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Private Method,"model.batch.observation.Observation.validateDocuments",,,,,,,,,,,,,,,,,,,,,,,,,2,14,1,8,2,3,5,2,3,0,1,5,2,3,3,3,4,1,0,,,,,0,,2,0,,0.63,,,,
Public Method,"model.batch.observation.Observation.validateObservation",,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,7,2,3,5,5,2,0,2,4,1,3,2,2,3,1,0,,,,,0,,1,0,,0.71,,,,
Public Class,"model.batch.observation.ObservationCreationSpec",1,1,1,1,5,0,5,0,1,1,0,,0,0,,,1,2,1,13,0,0,0,1,,14,1,10,6,2,3,,,,4,6,4,2,,,,,,1,1,1,1,,0,0,,0,0.30,1,1,1,1
