name;atfd;laa;fdp
org.apache.tools.ant.taskdefs.Taskdef2:303;0;1.0;0
org.apache.tools.ant.taskdefs.Taskdef2:311;0;1.0;0
org.apache.tools.ant.taskdefs.Taskdef2:319;0;1.0;0
org.apache.tools.ant.taskdefs.Taskdef2:327;0;1.0;0
org.apache.tools.ant.taskdefs.Taskdef2:336;0;1.0;0
org.apache.tools.ant.taskdefs.Taskdef2:344;1;0.6666667;1
org.apache.tools.ant.taskdefs.XMLDOM:84;0;1.0;0
org.apache.tools.ant.taskdefs.XMLDOM:92;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JXPath:80;1;0.0;1
org.apache.tools.ant.taskdefs.optional.JXPath:84;7;0.3;4
org.apache.tools.ant.taskdefs.optional.JXPath:102;1;0.8888889;1
org.apache.tools.ant.taskdefs.optional.JXPath:115;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JXPath:153;1;0.8;1
org.apache.tools.ant.taskdefs.optional.JXPath:167;1;0.6666667;1
org.apache.tools.ant.taskdefs.optional.JXPath:175;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JXPath:185;1;0.5;1
org.apache.tools.ant.taskdefs.optional.JXPath:189;1;0.5;1
org.apache.tools.ant.taskdefs.optional.JXPath:193;1;0.6666667;1
org.apache.tools.ant.taskdefs.optional.JXPath:197;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JXPathSet:87;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JXPathSet:93;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JXPathSet:99;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JXPathSet:103;3;0.6666667;3
org.apache.tools.ant.taskdefs.optional.JexlProperties:80;0;1.0;0
org.apache.tools.ant.taskdefs.optional.JexlProperties:97;7;0.3;4
org.apache.tools.ant.taskdefs.optional.VelocityProperties:83;0;1.0;0
org.apache.tools.ant.taskdefs.optional.VelocityProperties:103;1;0.0;1
org.apache.tools.ant.taskdefs.optional.VelocityProperties:107;7;0.3;4
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin:72;1;0.875;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin:95;4;0.33333334;3
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin:103;1;0.0;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin:108;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin:112;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin:116;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckin:120;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:73;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:99;1;0.0;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:104;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:108;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:112;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:116;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:120;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:124;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCCheckout:128;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCFile:93;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCFile:103;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCFile:116;2;0.0;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCFile:124;4;0.5555556;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:95;0;-1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:104;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:108;0;-1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:118;1;0.8333333;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:131;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:141;1;0.6666667;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:158;4;0.33333334;3
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:172;4;0.5;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:193;2;0.6666667;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:204;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMatchingTask:208;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:85;9;0.25;4
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:105;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:116;1;0.8888889;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:142;9;0.4;3
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:178;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:182;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:186;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMkelem:190;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel:72;1;0.875;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel:96;2;0.6;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel:107;1;0.0;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel:113;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel:116;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel:119;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCMklabel:122;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmname:80;2;0.6666667;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmname:97;6;0.33333334;3
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmname:115;1;0.0;1
org.apache.tools.ant.taskdefs.optional.clearcase.CCRmname:120;0;1.0;0
org.apache.tools.ant.taskdefs.optional.clearcase.CCUtils:102;3;0.5714286;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCUtils:118;6;0.5;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCUtils:140;3;0.4;2
org.apache.tools.ant.taskdefs.optional.clearcase.CCUtils:156;4;0.6363636;2
