name,atfd,laa,fdp
net.sourceforge.ganttproject.CustomPropertyManager.java:15,2,0.5,1
net.sourceforge.ganttproject.CustomPropertyManager.java:35,0,1.0,0
net.sourceforge.ganttproject.CustomPropertyManager.java:71,0,1.0,0
net.sourceforge.ganttproject.CustomPropertyManager.java:74,0,1.0,0
net.sourceforge.ganttproject.CustomPropertyManager.java:77,0,1.0,0
net.sourceforge.ganttproject.CustomPropertyManager.java:80,0,1.0,0
net.sourceforge.ganttproject.CustomPropertyManager.java:83,0,1.0,0
net.sourceforge.ganttproject.CustomPropertyManager.java:86,0,1.0,0
net.sourceforge.ganttproject.ErrorNotifier.java:19,1,0.0,1
net.sourceforge.ganttproject.ErrorNotifier.java:23,1,0.6666667,1
net.sourceforge.ganttproject.FacadeInvalidator.java:18,0,1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:22,0,1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:26,0,1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:30,0,1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:34,0,1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:38,0,1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:42,0,-1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:47,0,-1.0,0
net.sourceforge.ganttproject.FacadeInvalidator.java:52,0,1.0,0
net.sourceforge.ganttproject.GPLogger.java:32,2,0.6666667,2
net.sourceforge.ganttproject.GPLogger.java:43,1,0.5,1
net.sourceforge.ganttproject.GPLogger.java:47,2,0.5,2
net.sourceforge.ganttproject.GPLogger.java:52,3,0.5714286,3
net.sourceforge.ganttproject.GPLogger.java:61,0,1.0,0
net.sourceforge.ganttproject.GPLogger.java:65,0,1.0,0
net.sourceforge.ganttproject.GPLogger.java:79,1,0.5,1
net.sourceforge.ganttproject.GPToolBar.java:22,0,1.0,0
net.sourceforge.ganttproject.GPToolBar.java:38,6,0.45454547,4
net.sourceforge.ganttproject.GPToolBar.java:66,6,0.25,3
net.sourceforge.ganttproject.GPTreeTableBase.java:33,0,1.0,0
net.sourceforge.ganttproject.GPTreeTableBase.java:39,4,0.6,2
net.sourceforge.ganttproject.GPTreeTableBase.java:52,3,0.5714286,2
net.sourceforge.ganttproject.GPTreeTableBase.java:61,4,0.5,1
net.sourceforge.ganttproject.GPTreeTableBase.java:70,16,0.33333334,6
net.sourceforge.ganttproject.GPTreeTableBase.java:72,16,0.33333334,6
net.sourceforge.ganttproject.GPTreeTableBase.java:131,0,1.0,0
net.sourceforge.ganttproject.GPTreeTableBase.java:137,0,1.0,0
net.sourceforge.ganttproject.GPTreeTableBase.java:141,0,-1.0,0
net.sourceforge.ganttproject.GPTreeTableBase.java:143,3,0.6666667,1
net.sourceforge.ganttproject.GPView.java:10,0,-1.0,0
net.sourceforge.ganttproject.GPView.java:12,0,-1.0,0
net.sourceforge.ganttproject.GPViewManager.java:15,0,-1.0,0
net.sourceforge.ganttproject.GPViewManager.java:16,0,-1.0,0
net.sourceforge.ganttproject.GPViewManager.java:17,0,-1.0,0
net.sourceforge.ganttproject.GPViewManager.java:18,0,-1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:40,0,1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:44,0,1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:74,4,0.6923077,2
net.sourceforge.ganttproject.GanttCalendar.java:98,5,0.16666667,2
net.sourceforge.ganttproject.GanttCalendar.java:105,0,1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:110,2,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:116,1,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:121,1,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:126,1,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:131,1,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:136,1,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:141,1,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:146,1,0.75,1
net.sourceforge.ganttproject.GanttCalendar.java:154,1,0.75,1
net.sourceforge.ganttproject.GanttCalendar.java:162,1,0.5,1
net.sourceforge.ganttproject.GanttCalendar.java:167,1,0.5,1
net.sourceforge.ganttproject.GanttCalendar.java:172,1,0.5,1
net.sourceforge.ganttproject.GanttCalendar.java:177,1,0.5,1
net.sourceforge.ganttproject.GanttCalendar.java:182,4,0.33333334,2
net.sourceforge.ganttproject.GanttCalendar.java:191,0,1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:215,2,0.0,2
net.sourceforge.ganttproject.GanttCalendar.java:220,3,0.25,3
net.sourceforge.ganttproject.GanttCalendar.java:225,1,0.0,1
net.sourceforge.ganttproject.GanttCalendar.java:232,0,1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:248,6,0.25,4
net.sourceforge.ganttproject.GanttCalendar.java:265,6,0.0,2
net.sourceforge.ganttproject.GanttCalendar.java:271,1,0.5,1
net.sourceforge.ganttproject.GanttCalendar.java:276,1,0.5,1
net.sourceforge.ganttproject.GanttCalendar.java:281,0,1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:286,1,0.6666667,1
net.sourceforge.ganttproject.GanttCalendar.java:291,0,1.0,0
net.sourceforge.ganttproject.GanttCalendar.java:297,0,1.0,0
net.sourceforge.ganttproject.GanttCalendarDays.java:40,0,1.0,0
net.sourceforge.ganttproject.GanttCalendarDays.java:46,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:45,15,0.375,5
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:86,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:91,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:98,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:107,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:114,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:124,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:133,0,1.0,0
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:143,1,0.0,1
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:146,1,0.5,1
net.sourceforge.ganttproject.GanttChartTabContentPanel.java:149,1,0.75,1
net.sourceforge.ganttproject.GanttExportSettings.java:30,0,1.0,0
net.sourceforge.ganttproject.GanttExportSettings.java:34,0,1.0,0
net.sourceforge.ganttproject.GanttExportSettings.java:38,0,1.0,0
net.sourceforge.ganttproject.GanttExportSettings.java:42,0,1.0,0
net.sourceforge.ganttproject.GanttExportSettings.java:46,0,1.0,0
net.sourceforge.ganttproject.GanttExportSettings.java:50,0,1.0,0
net.sourceforge.ganttproject.GanttGraphicArea.java:197,0,-1.0,0
net.sourceforge.ganttproject.GanttGraphicArea.java:208,1,0.75,1
