name,wmc,atfd,tcc
net.sourceforge.ganttproject.gui.about.AboutDialog.java,7,14,0.0
net.sourceforge.ganttproject.gui.about.AboutJavaInfosPanel.java,16,14,0.0
net.sourceforge.ganttproject.gui.about.AboutLibraryPanel.java,15,17,0.0
net.sourceforge.ganttproject.gui.about.AboutLicensePanel.java,2,6,0.0
net.sourceforge.ganttproject.gui.about.AboutPanel.java,4,18,0.0
net.sourceforge.ganttproject.gui.options.CSVSettingsPanel.java,67,165,0.010869565217391304
net.sourceforge.ganttproject.gui.options.ColorSettingsPanel.java,15,18,0.0
net.sourceforge.ganttproject.gui.options.ExportSettingsPanel.java,11,20,0.0
net.sourceforge.ganttproject.gui.options.GeneralOptionPanel.java,6,9,0.0
net.sourceforge.ganttproject.gui.options.HTMLSettingsPanel.java,16,24,0.0
net.sourceforge.ganttproject.gui.options.LanguageSettingsPanel.java,30,33,0.0
net.sourceforge.ganttproject.gui.options.LnFSettingsPanel.java,15,28,0.0
net.sourceforge.ganttproject.gui.options.PDFSettingsPanel.java,18,24,0.0
net.sourceforge.ganttproject.gui.options.ParametersSettingsPanel.java,14,27,0.0
net.sourceforge.ganttproject.gui.options.ProjectSettingsPanel.java,13,35,0.0
net.sourceforge.ganttproject.gui.options.RolesSettingsPanel.java,3,5,0.0
net.sourceforge.ganttproject.gui.options.SettingsDialog.java,18,26,0.0
net.sourceforge.ganttproject.gui.options.TopPanel.java,3,13,0.0
net.sourceforge.ganttproject.gui.options.WelcomeSettingsPanel.java,2,1,0.0
net.sourceforge.ganttproject.gui.projectwizard.I18N.java,5,2,0.0
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizard.java,1,0,0.0
net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizardWindow.java,2,1,1.0
net.sourceforge.ganttproject.gui.projectwizard.ProjectNamePage.java,4,1,0.0
net.sourceforge.ganttproject.gui.projectwizard.RoleSetPage.java,16,18,0.05454545454545454
net.sourceforge.ganttproject.gui.projectwizard.WizardImpl.java,17,14,0.17777777777777778
net.sourceforge.ganttproject.gui.projectwizard.WizardPage.java,3,0,0.0
net.sourceforge.ganttproject.gui.server.ConnectionPanel.java,2,11,0.0
net.sourceforge.ganttproject.gui.server.ServerDialog.java,3,4,0.0
net.sourceforge.ganttproject.gui.taskproperties.CommonPanel.java,7,22,0.14285714285714285
net.sourceforge.ganttproject.gui.taskproperties.DependencyTableModel.java,26,6,0.022222222222222223
net.sourceforge.ganttproject.gui.taskproperties.InternalStateListener.java,2,0,0.0
net.sourceforge.ganttproject.gui.taskproperties.TaskAllocationsPanel.java,8,19,0.2
net.sourceforge.ganttproject.gui.taskproperties.TaskDependenciesPanel.java,13,30,0.19047619047619047
net.sourceforge.ganttproject.io.CSVOptions.java,3,0,0.0
net.sourceforge.ganttproject.io.GanttCSVExport.java,92,99,0.15555555555555556
net.sourceforge.ganttproject.io.GanttHTMLExport.java,36,72,0.0
net.sourceforge.ganttproject.io.GanttPDFExport.java,38,72,0.0
net.sourceforge.ganttproject.io.GanttTXTOpen.java,4,3,0.0
net.sourceforge.ganttproject.io.GanttXFIGSaver.java,74,90,0.7472527472527473
net.sourceforge.ganttproject.io.GanttXMLOpen.java,65,44,0.0
net.sourceforge.ganttproject.io.GanttXMLSaver.java,59,72,0.09523809523809523
net.sourceforge.ganttproject.language.GanttLanguage.java,18,30,0.03296703296703297
net.sourceforge.ganttproject.parser.AllocationTagHandler.java,13,4,0.0
net.sourceforge.ganttproject.parser.ColorValueParser.java,2,1,0.0
net.sourceforge.ganttproject.parser.DependencyTagHandler.java,21,11,0.0
net.sourceforge.ganttproject.parser.FileFormatException.java,0,0,0.0
net.sourceforge.ganttproject.parser.ParsingContext.java,2,0,1.0
net.sourceforge.ganttproject.parser.ParsingListener.java,2,0,0.0
net.sourceforge.ganttproject.parser.ResourceTagHandler.java,18,17,0.0
net.sourceforge.ganttproject.parser.RoleTagHandler.java,12,9,0.06666666666666667
net.sourceforge.ganttproject.parser.TagHandler.java,2,0,0.0
net.sourceforge.ganttproject.parser.TaskTagHandler.java,21,15,0.0
net.sourceforge.ganttproject.resource.HumanResource.java,6,0,0.2
net.sourceforge.ganttproject.resource.HumanResourceManager.java,22,9,0.01904761904761905
net.sourceforge.ganttproject.resource.ProjectResource.java,14,0,0.10256410256410256
net.sourceforge.ganttproject.resource.ResourceContext.java,1,0,0.0
net.sourceforge.ganttproject.resource.ResourceEvent.java,4,1,0.0
net.sourceforge.ganttproject.resource.ResourceManager.java,9,0,0.0
net.sourceforge.ganttproject.resource.ResourceView.java,2,0,0.0
net.sourceforge.ganttproject.roles.Role.java,3,0,0.0
net.sourceforge.ganttproject.roles.RoleImpl.java,5,2,0.0
net.sourceforge.ganttproject.roles.RoleManager.java,10,0,0.0
net.sourceforge.ganttproject.roles.RoleManagerImpl.java,14,27,0.027777777777777776
net.sourceforge.ganttproject.roles.RolePersistentID.java,6,0,0.6666666666666666
net.sourceforge.ganttproject.roles.RoleSet.java,9,0,0.0
net.sourceforge.ganttproject.roles.RoleSetImpl.java,12,3,0.022222222222222223
net.sourceforge.ganttproject.shape.ColorConstants.java,0,0,0.0
net.sourceforge.ganttproject.shape.JPaintCombo.java,1,0,0.0
net.sourceforge.ganttproject.shape.JPaintList.java,1,0,0.0
net.sourceforge.ganttproject.shape.PaintCellRenderer.java,5,16,1.0
net.sourceforge.ganttproject.shape.PreviewPanel.java,4,10,1.0
net.sourceforge.ganttproject.shape.Shape.java,17,60,0.0
net.sourceforge.ganttproject.shape.ShapeConstants.java,0,0,0.0
net.sourceforge.ganttproject.shape.ShapePaint.java,21,21,1.0
net.sourceforge.ganttproject.task.MutableTask.java,13,0,0.0
net.sourceforge.ganttproject.task.ResourceAssignment.java,5,0,0.0
net.sourceforge.ganttproject.task.ResourceAssignmentCollection.java,5,0,0.0
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl.java,28,20,0.009523809523809525
net.sourceforge.ganttproject.task.ResourceAssignmentMutator.java,1,0,0.0
net.sourceforge.ganttproject.task.Task.java,25,0,0.0
net.sourceforge.ganttproject.task.TaskContainmentHierarchyFacade.java,4,0,0.0
net.sourceforge.ganttproject.task.TaskImpl.java,84,39,0.02127659574468085
net.sourceforge.ganttproject.task.TaskLength.java,3,0,0.0
net.sourceforge.ganttproject.task.TaskLengthImpl.java,7,1,0.8333333333333334
net.sourceforge.ganttproject.task.TaskManager.java,15,0,0.0
net.sourceforge.ganttproject.task.TaskManagerConfig.java,1,0,0.0
net.sourceforge.ganttproject.task.TaskManagerImpl.java,50,23,0.015873015873015872
net.sourceforge.ganttproject.task.TaskMutator.java,1,0,0.0
net.sourceforge.ganttproject.task.algorithm.AdjustTaskBoundsAlgorithm.java,20,13,0.0
net.sourceforge.ganttproject.task.algorithm.AlgorithmBase.java,2,0,1.0
net.sourceforge.ganttproject.task.algorithm.AlgorithmCollection.java,4,0,0.0
net.sourceforge.ganttproject.task.algorithm.FindPossibleDependeesAlgorithm.java,1,0,0.0
net.sourceforge.ganttproject.task.algorithm.FindPossibleDependeesAlgorithmImpl.java,5,4,0.0
net.sourceforge.ganttproject.task.algorithm.RecalculateTaskCompletionPercentageAlgorithm.java,7,6,0.0
net.sourceforge.ganttproject.task.algorithm.RecalculateTaskScheduleAlgorithm.java,41,27,0.01818181818181818
net.sourceforge.ganttproject.task.dependency.EventDispatcher.java,2,0,0.0
net.sourceforge.ganttproject.task.dependency.MutableTaskDependencyCollection.java,3,0,0.0
net.sourceforge.ganttproject.task.dependency.RangeSearchFromKey.java,0,1,0.0
net.sourceforge.ganttproject.task.dependency.RangeSearchToKey.java,0,1,0.0
net.sourceforge.ganttproject.task.dependency.SearchKey.java,9,12,1.0
net.sourceforge.ganttproject.task.dependency.TaskDependency.java,5,0,0.0
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollection.java,4,0,0.0
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl.java,26,30,0.01282051282051282
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionMutator.java,1,0,0.0
