Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Class,Class - controllers.dto.BatchStatusDTO.(Anon_9),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.client.account.ClientType.(Anon_1),1,1,1,1,2,0,2,0,1,3,0,,0,0,,,2,0,2,33,0,0,0,2,,7,0,7,5,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Class,Class - model.client.account.ClientType.(Anon_2),1,1,1,1,2,0,2,0,1,3,0,,0,0,,,2,0,2,33,0,0,0,2,,7,0,7,5,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Class,Class - model.client.account.ClientType.(Anon_3),1,1,1,1,2,0,2,0,1,3,0,,0,0,,,2,0,2,33,0,0,0,2,,7,0,7,5,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Class,Class - model.client.external.AccountType.(Anon_1),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,5,0,5,3,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.client.external.AccountType.(Anon_2),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,5,0,5,3,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.client.external.AccountType.(Anon_3),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,5,0,5,3,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.client.external.AccountType.(Anon_4),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,29,0,0,0,1,,5,0,5,3,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.client.external.TipoCliente.(Anon_1),1,1,1,1,3,0,3,0,1,3,0,,0,0,,,2,0,2,31,0,0,0,2,,9,0,9,5,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Class,Class - model.client.external.TipoCliente.(Anon_2),1,1,1,1,3,0,3,0,1,3,0,,0,0,,,2,0,2,31,0,0,0,2,,9,0,9,5,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Class,Class - model.client.external.TipoCliente.(Anon_3),1,1,1,1,3,0,3,0,1,3,0,,0,0,,,2,0,2,31,0,0,0,2,,9,0,9,5,2,0,,,,2,4,2,2,,,,,,1,1,1,1,,1,0,,0,0.00,2,2,2,2
Class,Class - model.production.action.ProductionActionType.(Anon_1),1,1,1,1,3,0,3,0,1,1,0,,0,0,,,1,0,1,32,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.production.action.ProductionActionType.(Anon_2),1,1,1,1,3,0,3,0,1,1,0,,0,0,,,1,0,1,32,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.production.action.ProductionActionType.(Anon_3),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,32,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.production.action.ProductionActionType.(Anon_4),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,32,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
Class,Class - model.production.action.ProductionActionType.(Anon_5),1,1,1,1,3,0,3,0,1,2,0,,0,0,,,1,0,1,32,0,0,0,1,,4,0,4,2,1,0,,,,1,2,1,1,,,,,,1,1,1,1,,1,0,,0,0.00,1,1,1,1
